maat    1 tel 3.5   | LIG  | L G4    | S-T meer dan een octaaf
maat    2 tel 1     | H5   | R D5    | S springt -3, B -12
maat    2 tel 1     | H5   | L G3    | S springt -3, B -12
maat    3 tel 2     | S7   | R D5    | septiem in S gaat naar C4
maat    3 tel 3.5   | LIG  | L C4    | S-T meer dan een octaaf
maat    5 tel 2     | LIG  | L D4    | S-T meer dan een octaaf
maat    5 tel 3.5   | LIG  | L G4    | S-T meer dan een octaaf
maat    6 tel 1     | H5   | R D5    | S springt -3, B -12
maat    6 tel 1     | H5   | L G3    | S springt -3, B -12
maat   13 tel 1     | AP8  | R G5    | S-B: D/D -> G/G
maat   13 tel 1     | AP8  | L G2    | S-B: D/D -> G/G
maat   13 tel 3.5   | LIG  | L B-3   | S-T meer dan een octaaf
maat   14 tel 1     | H5   | R D5    | S springt -3, B -7
maat   14 tel 1     | H5   | L G2    | S springt -3, B -7
maat   14 tel 2     | AP8  | R G4    | S-B: D/D -> G/G
maat   14 tel 2     | AP8  | L G3    | S-B: D/D -> G/G
maat   17 tel 3     | LIG  | L G3    | S-T meer dan een octaaf
maat   23 tel 3     | LIG  | L B-3   | S-T meer dan een octaaf
maat   26 tel 4     | KR   | L F2    | B kruist liggende D4
maat   30 tel 3     | AP5  | R A5    | S-B: B-/E- -> A/D
maat   30 tel 3     | AP5  | L D3    | S-B: B-/E- -> A/D
maat   35 tel 2     | S7   | R D5    | septiem in S gaat naar C4
maat   35 tel 3.5   | LIG  | L C4    | S-T meer dan een octaaf
maat   37 tel 2     | LIG  | L D4    | S-T meer dan een octaaf
maat   37 tel 3.5   | LIG  | L G4    | S-T meer dan een octaaf
maat   38 tel 1     | H5   | R D5    | S springt -5, B -12
maat   38 tel 1     | H5   | L G3    | S springt -5, B -12
maat   44 tel 1     | H5   | R A4    | S springt -3, B -5
maat   44 tel 1     | H5   | L D3    | S springt -3, B -5
maat   50 tel 2     | AP8  | R G4    | S-B: D/D -> G/G
maat   50 tel 2     | AP8  | L G3    | S-B: D/D -> G/G
maat   54 tel 1     | H5   | R A6    | S springt -5, B -24
maat   54 tel 1     | H5   | L D4    | S springt -5, B -24
maat   56 tel 1     | LIG  | L B-3   | A-T meer dan een octaaf
maat   56 tel 2.5   | S7   | L B-3   | septiem in B gaat naar D3
maat   59 tel 1     | P5   | R A4    | S-B: C/F -> A/D
maat   59 tel 1     | P5   | L D2    | S-B: C/F -> A/D
