maat    2 tel 2     | KR   | R C4    | rechterhand C4 onder linkerhand D4
maat    2 tel 2.5   | KR   | L G3    | B kruist liggende C4
maat    4 tel 3.5   | P8   | R C5    | S-T: G/G -> C/C
maat    4 tel 3.5   | P8   | L C4    | S-T: G/G -> C/C
maat    5 tel 1     | P8   | R B-4   | S-T: C/C -> B-/B-
maat    5 tel 1     | P8   | L B-3   | S-T: C/C -> B-/B-
maat    5 tel 1     | S7   | L B-3   | septiem in T gaat naar F4
maat    5 tel 1.5   | OV   | R F4    | T boven vorige A (E-4)
maat    6 tel 1     | OV   | R D4    | A onder vorige T (F4)
maat    6 tel 3     | AP8  | R C5    | S-B: G/G -> C/C
maat    6 tel 3     | AP8  | L C3    | S-B: G/G -> C/C
maat    6 tel 3.5   | LIG  | L G3    | S-T meer dan een octaaf
maat    7 tel 1.5   | LIG  | L G3    | S-T meer dan een octaaf
maat    7 tel 3.5   | OV   | R A4    | S onder vorige T (B-4)
maat   10 tel 3.5   | LIG  | L G2    | S-T meer dan een octaaf
maat   11 tel 2.5   | LIG  | L G2    | S-T meer dan een octaaf
maat   12 tel 1.5   | LIG  | L A-2   | S-T meer dan een octaaf
maat   12 tel 2.5   | LIG  | L G2    | S-T meer dan een octaaf
maat   12 tel 3.5   | LIG  | L F2    | S-T meer dan een octaaf
maat   13 tel 2     | OV   | R D4    | A onder vorige T (A-4)
maat   13 tel 2     | OV   | R G4    | S onder vorige A (B-4)
maat   14 tel 3     | P8   | L C3    | B-A: D/D -> C/C
maat   14 tel 3     | P8   | R C4    | B-A: D/D -> C/C
maat   23 tel 1     | H8   | R C5    | S springt +5, B +1
maat   23 tel 1     | H8   | L C3    | S springt +5, B +1
maat   24 tel 2     | LIG  | L E-3   | A-T meer dan een octaaf
maat   43 tel 1     | A2   | R A-3   | T: B->A- (A2, -3)
maat   45 tel 1     | H8   | R C5    | S springt +19, B +12
maat   45 tel 1     | H8   | L C3    | S springt +19, B +12
maat   48 tel 4     | S7   | R F4    | septiem in S gaat naar C5
maat   49 tel 1     | H8   | R C5    | S springt +7, B +5
maat   49 tel 1     | H8   | L C3    | S springt +7, B +5
maat   51 tel 1     | LIG  | L C3    | A-T meer dan een octaaf
maat   51 tel 3     | LIG  | L F3    | A-T meer dan een octaaf
maat   58 tel 1     | H8   | R C5    | S springt +5, B +1
maat   58 tel 1     | H8   | L C3    | S springt +5, B +1
maat   59 tel 2     | LIG  | L E-3   | A-T meer dan een octaaf
maat   69 tel 2     | LIG  | L G3    | S-T meer dan een octaaf
maat   78 tel 1     | A2   | R A-3   | T: B->A- (A2, -3)
maat   83 tel 3     | A2   | R D#4   | T: F->D# (d3, -2)
maat   83 tel 4     | S7   | R F4    | septiem in S gaat naar C5
maat   84 tel 1     | H8   | R C5    | S springt +7, B +5
maat   84 tel 1     | H8   | L C3    | S springt +7, B +5
